pid,qtr,min,sec,dwn,yds,pts,player,type
665326,4,0,5,1,1,7,LB-0250,RUSH
665340,1,9,50,1,2,7,MI-0100,RUSH
665357,1,2,13,4,4,7,MM-1550,BLPU
665368,2,14,17,2,7,7,RW-2200,REC
665447,3,2,27,4,2,7,BW-0700,REC
665460,4,13,14,2,25,7,DF-1875,RUSH
665473,4,8,7,1,1,7,MI-0100,RUSH
665495,4,1,34,1,13,7,DF-1875,REC
665517,1,9,32,2,2,7,PG-0100,REC
665530,1,3,32,2,1,7,CI-0300,RUSH
665597,3,10,10,1,18,7,RF-0500,RUSH
665609,3,6,2,2,35,7,BM-0300,REC
665626,4,14,22,2,2,7,ED-0200,REC
665657,4,4,4,4,0,7,RR-1150,BLPU
665684,1,8,20,3,3,7,MF-0950,REC
665763,3,8,51,3,8,6,MB-4550,REC
665814,4,2,15,2,88,7,MB-4550,REC
665885,2,4,46,3,4,7,KR-1200,REC
665958,4,8,55,3,42,7,AW-1650,REC
665997,1,9,24,3,2,7,EM-0250,RUSH
666014,1,3,35,1,13,7,JH-4025,REC
666035,2,10,24,3,17,7,GB-0350,RUSH
666062,2,0,26,2,22,7,SW-0450,REC
666074,3,11,1,2,10,7,MJ-2250,REC
666097,3,1,45,2,4,7,TE-0300,REC
666124,4,6,52,1,4,7,LM-1000,RUSH
666157,1,9,35,3,20,7,LM-1500,REC
666185,2,12,57,2,1,7,JL-0280,RUSH
666194,2,9,23,1,8,7,TW-3900,REC
666220,2,0,58,3,2,7,GT-0100,REC
666270,4,12,33,2,11,7,AJ-0430,REC
666283,4,7,54,3,2,8,MF-1300,RUSH
666310,4,0,25,1,6,7,CJ-1100,REC
666384,2,14,19,2,63,7,AT-0100,INT
666435,3,11,12,3,11,7,GB-0200,REC
666483,4,9,20,3,14,7,GB-0200,REC
666488,4,8,18,2,35,6,KD-0100,INT
666492,4,8,2,1,75,7,ES-0200,REC
666586,1,1,42,3,14,7,AF-0900,REC
666603,2,9,44,2,2,7,AR-1250,REC
666674,3,0,10,3,29,7,JT-2000,REC
666686,4,11,27,3,9,7,DH-3950,REC
666697,4,8,12,3,26,7,DH-3950,REC
666700,4,8,2,1,31,7,AH-0250,INT
666716,4,4,39,4,11,7,AH-3900,REC
666745,1,10,48,1,22,7,JL-0215,RUSH
666794,2,5,12,2,7,7,LM-1150,RUSH
666839,3,5,50,2,30,7,RJ-2000,INT
666854,3,0,5,2,3,7,DM-1200,REC
666871,4,7,43,2,2,7,DS-2170,REC
666887,4,2,0,3,12,7,JC-0400,REC
666939,2,13,34,1,2,7,CN-0500,RUSH
666953,2,8,2,2,1,7,ML-2500,RUSH
666990,3,11,36,1,40,7,RL-1100,REC
667010,3,3,39,2,1,7,JS-6700,RUSH
667047,4,3,58,1,1,7,JS-6700,RUSH
667064,4,0,36,2,26,6,GO-0100,REC
667087,1,8,44,2,5,7,JS-6200,REC
667110,1,2,3,2,65,7,JS-6200,RUSH
667158,2,0,2,4,1,7,DI-0075,REC
667173,3,9,29,2,19,7,LG-0750,REC
667199,3,0,49,2,8,7,JJ-4200,REC
667296,2,12,37,2,76,7,TS-2300,REC
667358,3,2,36,2,34,7,SS-2100,REC
667378,4,10,59,3,21,6,QP-0050,REC
667395,4,5,22,4,2,7,KA-0400,REC
667429,1,7,21,4,5,7,DM-2775,REC
667442,1,2,56,2,12,7,JE-0100,REC
667468,2,11,37,2,14,7,MA-0200,INT
667474,2,9,42,2,38,7,LB-0500,RUSH
667489,2,2,45,3,3,7,TH-1850,REC
667513,3,11,4,2,25,7,RG-2200,REC
667548,4,12,56,2,11,7,LB-0500,REC
667594,4,1,26,1,18,6,GW-0650,REC
667608,1,10,27,1,13,7,OB-0075,REC
667632,1,3,40,1,32,7,RC-2300,REC
667650,2,12,33,2,17,7,NC-0100,INT
667723,3,6,19,1,12,7,DM-4300,RUSH
667795,1,7,5,3,1,7,ML-2500,RUSH
667841,2,2,53,1,43,7,TL-1025,REC
667968,2,14,9,3,10,7,AR-1250,REC
667974,2,12,30,3,6,7,CC-2600,FUM
667977,2,12,21,1,26,7,TS-2050,INT
667986,2,8,34,3,28,6,TY-0150,RUSH
668000,2,2,52,1,16,7,RW-4050,REC
668079,4,6,41,2,58,8,ME-0100,REC
668086,4,5,34,3,44,7,CG-1700,INT
668097,4,2,25,2,31,7,AH-3900,REC
668116,1,11,55,1,40,7,ME-0600,REC
668153,2,11,41,3,7,7,DD-3050,REC
668161,2,8,31,3,43,7,HJ-0300,FUM
668170,2,4,32,1,8,7,KC-2350,RUSH
668200,3,11,15,1,3,7,RG-1650,REC
668212,3,7,1,3,3,7,JR-1150,REC
668266,4,0,28,3,6,7,JR-1150,REC
668323,2,8,49,1,19,7,KW-2550,REC
668370,3,6,1,2,8,7,JJ-4700,REC
668455,1,2,35,1,1,7,KR-1050,RUSH
668466,2,15,0,3,6,7,KR-1050,RUSH
668471,2,13,42,1,16,7,MH-3300,REC
668531,3,10,30,2,1,7,MI-0100,RUSH
668551,3,3,56,2,87,7,TH-1850,REC
668562,3,0,11,1,46,7,TH-1850,REC
668605,4,3,10,3,8,7,DM-2775,REC
668622,1,11,15,2,1,7,CJ-1100,REC
668646,1,1,30,1,7,7,EE-0050,REC
668682,2,1,54,3,1,6,KR-1200,REC
668706,3,10,27,1,36,7,SD-0537,REC
668875,3,4,27,3,1,7,CW-1450,RUSH
668883,3,1,47,2,19,7,MB-4550,REC
668906,4,5,17,1,6,7,CC-3950,REC
668929,1,12,6,1,20,7,RM-3050,FUM
669032,3,2,20,1,1,7,TG-1950,RUSH
669054,4,8,18,1,16,7,TG-1950,RUSH
669091,1,11,6,1,53,7,RM-1500,REC
669106,1,7,0,1,50,7,JL-0215,REC
669116,1,3,11,3,10,7,JL-0215,REC
669128,2,14,23,2,54,7,LM-1150,REC
669132,2,14,3,2,23,7,RJ-2000,INT
669165,2,3,2,2,85,6,LM-1150,RUSH
669197,3,8,28,2,7,7,AF-0900,REC
669213,3,1,51,3,2,7,AF-0900,RUSH
669229,4,11,36,1,27,7,NW-0100,REC
669254,4,4,4,2,5,6,NW-0100,REC
669308,2,12,33,1,5,7,JK-1000,REC
669329,2,6,26,4,1,7,TB-2300,RUSH
669379,3,4,12,2,9,7,CI-0300,REC
669407,4,7,22,3,8,7,DA-0900,REC
669424,4,1,18,2,15,7,RG-2200,REC
669442,1,12,51,2,1,7,LM-1850,RUSH
669479,2,13,11,2,23,7,CW-0225,REC
669517,2,1,12,1,52,7,AC-2350,REC
669537,3,10,49,1,25,7,MC-2900,REC
669573,4,13,7,2,31,7,LG-0750,REC
669596,4,6,3,3,8,8,DW-4300,REC
669622,4,0,10,2,6,8,DW-4300,REC
669669,2,11,10,2,15,7,OD-0200,RUSH
669691,2,2,22,2,1,7,DM-1600,RUSH
669719,3,11,34,2,58,7,DR-2800,INT
669759,4,7,25,1,25,7,DS-4750,REC
669761,4,7,14,0,100,7,DH-1800,KR
669794,1,9,28,1,2,7,MT-1300,RUSH
669851,2,3,39,2,2,7,CN-0500,RUSH
669879,3,11,58,2,2,7,MT-1300,REC
669886,3,9,43,2,63,7,RM-1200,RUSH
669983,1,4,11,1,26,7,CJ-1700,RUSH
670014,2,4,0,1,14,7,JF-2800,RUSH
670027,2,1,5,3,3,7,MF-0950,REC
670080,4,8,13,1,4,6,JB-6950,REC
670092,4,4,31,1,1,8,KJ-1400,REC
670127,1,10,21,1,47,7,RG-2200,REC
670202,2,0,29,1,16,7,DL-1700,REC
670216,3,11,30,1,1,7,LM-1150,RUSH
670252,4,13,33,3,10,7,JE-0100,REC
670265,4,7,23,2,16,7,JE-0100,REC
