pid,psr,trg,yds,comp
653986,PR-0300,SJ-0600,34,1
653988,PR-0300,KA-0650,2,1
653990,PR-0300,KA-0650,20,1
653992,PR-0300,KA-0650,5,1
653993,PR-0300,SJ-0600,14,1
653997,MS-4100,EE-0050,14,1
653998,MS-4100,EE-0050,7,1
653999,MS-4100,CJ-1100,11,1
654000,MS-4100,TR-0370,16,1
654001,MS-4100,EE-0050,14,1
654002,MS-4100,GT-0100,0,0
654003,MS-4100,TR-0370,21,1
654009,MM-0912,BS-0650,0,0
654011,MM-0912,BS-0650,0,0
654012,MM-0912,DW-0500,22,1
654013,MM-0912,KW-2550,52,1
654018,JW-5650,AH-3862,0,0
654021,JW-5650,VJ-0100,0,0
654027,MM-0912,JH-6400,11,1
654028,MM-0912,KW-2550,13,1
654030,MM-0912,JH-6400,0,0
654031,MM-0912,HD-0300,20,1
654032,MM-0912,BS-0650,12,1
654039,JW-5650,VJ-0100,0,0
654040,JW-5650,VJ-0100,6,1
654043,JW-5650,AS-0550,21,1
654045,JW-5650,DM-0450,2,1
654046,JW-5650,AS-0550,5,1
654065,MM-0912,KW-2550,22,1
654068,MM-0912,HD-0300,4,1
654071,JW-5650,VJ-0100,18,1
654073,JW-5650,LM-1800,0,0
654074,JW-5650,CS-1950,0,0
654077,MM-0912,AF-0200,18,1
654080,MM-0912,DW-0500,1,1
654083,JW-5650,CS-1950,18,1
654086,JW-5650,CS-1950,0,0
654088,JW-5650,VJ-0100,15,1
654092,JW-5650,AS-0550,0,0
654098,MM-0912,BS-0650,0,1
654099,MM-0912,KW-2550,14,1
654107,JW-5650,AH-3862,2,1
654110,MM-0912,DW-0500,20,1
654118,JW-5650,VJ-0100,0,0
654128,JW-5650,AH-3862,12,1
654131,JW-5650,AH-3862,0,0
654133,JW-5650,AS-0550,8,1
654134,JW-5650,AS-0550,41,1
654142,JW-5650,CS-1950,5,1
654143,JW-5650,RS-0975,6,1
654144,JW-5650,LM-1800,0,0
654145,JW-5650,VJ-0100,12,1
